Timestamp	Filename	Error	Message
2017-03-16 11:12:55.851 +0530	BTN_AddUser	0	script steps imported : 1
2017-03-16 11:12:55.917 +0530	KidzQui.fmp12	0	Import completed
2017-03-16 11:12:56.214 +0530	KidzQui.fmp12	0	Import of script steps from clipboard started
2017-03-16 11:12:56.281 +0530	BTN_AddUser	0	script steps imported : 1
2017-03-16 11:12:56.355 +0530	KidzQui.fmp12	0	Import completed
2017-03-16 11:12:57.049 +0530	KidzQui.fmp12	0	Import of script steps from clipboard started
2017-03-16 11:12:57.126 +0530	BTN_AddUser	0	script steps imported : 1
2017-03-16 11:12:57.188 +0530	KidzQui.fmp12	0	Import completed
2017-03-16 11:12:59.165 +0530	KidzQui.fmp12	0	Import of script steps from clipboard started
2017-03-16 11:12:59.220 +0530	BTN_AddUser	0	script steps imported : 1
2017-03-16 11:12:59.308 +0530	KidzQui.fmp12	0	Import completed
2017-03-16 11:34:28.277 +0530	KidzQui.fmp12	0	Import of script steps from clipboard started
2017-03-16 11:34:28.315 +0530	BTN_Login	0	script steps imported : 1
2017-03-16 11:34:28.337 +0530	KidzQui.fmp12	0	Import completed
2017-03-16 11:34:28.617 +0530	KidzQui.fmp12	0	Import of script steps from clipboard started
2017-03-16 11:34:28.638 +0530	BTN_Login	0	script steps imported : 1
2017-03-16 11:34:28.659 +0530	KidzQui.fmp12	0	Import completed
2017-03-16 11:34:28.866 +0530	KidzQui.fmp12	0	Import of script steps from clipboard started
2017-03-16 11:34:28.895 +0530	BTN_Login	0	script steps imported : 1
2017-03-16 11:34:28.916 +0530	KidzQui.fmp12	0	Import completed
